name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J0001-3003,0.393438,-30.05957,Lower-score candidates,2,1.2144,,1.67,0.9501,
J0013-2850,3.37614,-28.840515,Lower-score candidates,2,2.1911,,1.67,0.9677,
J0016-3442,4.121263,-34.712678,Lower-score candidates,2,1.2027,,1.67,0.9923,
J0020-3202,5.214989,-32.040545,Lower-score candidates,2,1.6049,,1.67,0.9992,
J0021-3409,5.311114,-34.155862,Lower-score candidates,2,1.5198,,1.67,0.9566,
J0022-3442,5.692254,-34.714608,Median-score candidate,2,1.6937,,2,0.9689,
J0029-3413,7.306662,-34.232366,Median-score candidate,2,1.5744,,2,0.9999,
J0030-3135,7.514854,-31.58907,Lower-score candidates,2,1.3922,,1.67,0.9957,
J1423-0158,215.821115,-1.974843,Median-score candidate,2,0.1121,,2,0.9696,
J0038-3319,9.680209,-33.319043,Median-score candidate,2,1.8859,,2,0.9973,
J0040-3400,10.169621,-34.002243,Median-score candidate,2,1.6135,,2,0.9995,
J0045-3416,11.382242,-34.268793,Median-score candidate,2,0.2019,,2,0.9939,
J1317-0014,199.345813,-0.246377,Lower-score candidates,2,0.6095,,1.67,1,
J0050-2854,12.622924,-28.901191,Lower-score candidates,2,2.033,,1.67,0.9766,
J0053-3223,13.310058,-32.394918,Lower-score candidates,2,1.343,,1.67,0.9995,
J0054-2753,13.585976,-27.888256,Median-score candidate,2,1.4363,,2,0.9997,
J0059-2728,14.890407,-27.470689,Median-score candidate,2,1.3613,,2,0.9554,
J0059-2902,14.862438,-29.044257,Lower-score candidates,2,1.4913,,1.67,0.9999,
J0100-3406,15.128183,-34.109264,Lower-score candidates,2,,"CANDIDATE: DESJ0100-3406, Lemon, C. et al. (2020)",1.67,0.9871,
J0104-3411,16.158123,-34.199021,Median-score candidate,2,2.0272,,2,0.9685,
J0105-3141,16.449223,-31.694596,Median-score candidate,2,0.9798,,2.33,1,
J0111-3314,17.846999,-33.247865,Median-score candidate,2,1.1742,,2,0.9416,
J0112-2908,18.028292,-29.147021,Median-score candidate,2,0.8447,,2,0.9948,
J0115-3245,18.926027,-32.7619,Median-score candidate,2,1.6954,,2.33,0.9932,
J0118-2848,19.599347,-28.808331,Lower-score candidates,2,1.6846,,1.67,0.9844,
J0120-3228,20.223334,-32.480852,Median-score candidate,2,2.5818,,2,0.9998,
J0121-3140,20.412977,-31.674381,Median-score candidate,2,1.3746,,2,0.9982,
J0122-2700,20.6946,-27.001912,Lower-score candidates,2,1.1132,,1.67,0.996,
J0126-3334,21.603708,-33.581365,Median-score candidate,2,0.07,,2.33,0.9976,
J0133-3006,23.453359,-30.109497,Lower-score candidates,2,1.679,,1.67,0.9702,
J0133-3133,23.489357,-31.555265,Lower-score candidates,2,1.6173,,1.67,0.9994,
J0141-3407,25.366883,-34.118708,Median-score candidate,2,1.575,,2,0.9998,
J0145-3515,26.404853,-35.250941,Lower-score candidates,2,2.0861,,1.67,0.9612,
J0146-3449,26.5812,-34.821576,Median-score candidate,2,1.5701,,2,1,
J0907+0003,136.793753,0.0558,Median-score candidate,2,0.888,"CONFIRMED: J090710+000320, Spiniello, C. et al. (2018), J090710+000320, Krone-Martins, A. et al. (2019), J090710+000320, Chan, James H. H. et al. (2020), J090710+000320, He, Zizhao et al. (2023)",1.83,0.9994,Lensed QSO
J0154-2940,28.743004,-29.67283,Lower-score candidates,2,1.7345,,1.67,1,
J2356-3135,359.217873,-31.587565,Median-score candidate,2,0.9013,,2,0.9973,
J0202-3059,30.500539,-30.996125,Lower-score candidates,2,1.5771,,1.67,1,
J0209-2954,32.306189,-29.907582,Lower-score candidates,2,1.4313,,1.67,0.9971,
J0213-3024,33.490972,-30.409575,Median-score candidate,2,0.9219,,2,0.9827,
J0213-3351,33.417805,-33.855155,Median-score candidate,2,2.2526,,2,0.999,
J0220-2922,35.223948,-29.368411,Median-score candidate,2,1.381,,2,0.9418,
J0227-3158,36.841585,-31.971757,Lower-score candidates,2,1.1805,,1.67,0.9991,
J0231-3440,37.927415,-34.681065,Median-score candidate,2,2.1149,,2,0.992,
J0233-3255,38.28695,-32.917684,Median-score candidate,2,,,2,0.98,
J0240-3416,40.14001,-34.269736,High-score candidate,2,1.5748,,2.33,0.946,
J0241-3101,40.291056,-31.028932,Lower-score candidates,2,1.6561,,1.67,0.9682,
J0242-3054,40.696715,-30.913117,Median-score candidate,2,,,2,0.9995,
J0247-2950,41.878252,-29.843824,Median-score candidate,2,1.117,,2,1,
J0252-3249,43.241119,-32.819042,Lower-score candidates,2,2.1079,,1.67,0.9996,
J0255-2822,43.957334,-28.383104,Median-score candidate,2,,,2,0.9914,
J0257-2700,44.46478,-27.010931,Lower-score candidates,2,1.9772,,1.67,0.9853,
J0257-3501,44.290504,-35.023704,Median-score candidate,2,1.4399,,2,1,
J0310-3525,47.561562,-35.417676,Median-score candidate,2,1.4692,,2,1,
J0313-3343,48.39203,-33.727459,Lower-score candidates,2,1.7476,,1.67,0.997,
J1334-0120,203.546474,-1.348115,Median-score candidate,2,1.0508,"CANDIDATE: KIDSJ1334-0120, Khramtsov, Vladislav et al. (2019), KIDSJ1334-0120, Dawes, C. et al. (2023), KIDSJ1334-0120, He, Zizhao et al. (2023)",2,0.9932,
J0317-3113,49.355876,-31.226523,Lower-score candidates,2,1.3328,,1.67,0.9998,
