name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J0001-3003,0.393639,-30.059859,0.399,0.469,1.17,0.797,0.434962417,0.704,1.2673,0.555511718,20.707653,21.000006,20.754995,20.341125,1.17,,
J0001-3003,0.393438,-30.05957,0.399,0.469,1.17,0.797,0.434962417,0.704,1.2673,0.555511718,21.33465,21.257067,20.643719,20.37429,0.7,,
J0013-2850,3.375689,-28.840052,0.186,1.617,0.52,0.532,2.187939686,0.1852,0.6089,0.304155034,21.699398,20.914488,20.688852,20.550478,0.14,,
J0013-2850,3.37614,-28.840515,0.186,1.617,0.52,0.532,2.187939686,0.1852,0.6089,0.304155034,20.539406,20.094023,19.90466,19.519543,1.14,,
J0016-3442,4.121263,-34.712678,10.283,-19.748,0.332,0.49,37.61705992,0.7178,0.548,1.309854015,22.193876,20.424278,19.396614,19.005333,0.18,,
J0016-3442,4.120988,-34.712432,10.283,-19.748,0.332,0.49,37.61705992,0.7178,0.548,1.309854015,21.76981,20.32176,19.239813,18.818344,0.32,,
J0020-3202,5.214989,-32.040545,2.828,-22.089,1.012,1.338,13.27438732,1.81,1.6722,1.082406411,22.554531,21.039446,20.01839,19.565777,0.25,,
J0020-3202,5.215248,-32.040157,2.828,-22.089,1.012,1.338,13.27438732,1.81,1.6722,1.082406411,23.341995,21.227617,19.998365,19.430498,0.18,,
J0021-3409,5.311114,-34.155862,,,,,,,,,24.315567,21.70626,20.243645,19.716534,0.39,,
J0021-3409,5.311245,-34.155454,,,,,,,,,23.19482,21.020481,19.50972,19.117498,0.36,,
J0022-3442,5.692502,-34.715032,6.46,-5.186,0.727,1.705,4.469372717,0.3011,1.0857,0.277332596,23.604712,21.38846,20.095076,19.591848,0.19,,
J0022-3442,5.692254,-34.714608,6.46,-5.186,0.727,1.705,4.469372717,0.3011,1.0857,0.277332596,23.600933,21.321749,19.938618,19.465443,0.38,,
J0029-3413,7.306662,-34.232366,4.047,-27.217,0.388,0.794,31.13644927,0.4258,0.648,0.657098765,20.830626,19.850967,19.56286,19.269299,0.01,,
J0029-3413,7.306223,-34.23261,4.047,-27.217,0.388,0.794,31.13644927,0.4258,0.648,0.657098765,18.877773,17.931763,17.654634,17.570824,0.01,,
J0030-3135,7.514854,-31.58907,10.487,0.575,2.472,2.139,3.212871685,2.3433,2.2154,1.057732238,25.606949,22.541348,21.122705,20.64629,0.3,,
J0030-3135,7.5144,-31.58907,10.487,0.575,2.472,2.139,3.212871685,2.3433,2.2154,1.057732238,24.56399,21.83416,20.637178,20.18337,0.14,,
J0030-3358,7.674091,-33.976476,-0.92,-0.085,1.757,1.553,0.394000988,-0.3096,2.0613,0.150196478,21.977228,21.563335,21.041471,20.297941,0.98,1.58,LEMON4
J0030-3358,7.673903,-33.976963,-0.92,-0.085,1.757,1.553,0.394000988,-0.3096,2.0613,0.150196478,21.144672,20.76334,20.548218,20.26976,2.14,1.58,LEMON4
J0038-3319,9.680209,-33.319043,-0.725,-0.111,0.431,0.263,1.452642908,0.3957,0.2951,1.340901389,19.442436,19.091331,18.888077,18.822546,0.12,,
J0038-3319,9.680173,-33.31852,-0.725,-0.111,0.431,0.263,1.452642908,0.3957,0.2951,1.340901389,19.825674,18.890474,18.503143,18.333508,0.01,,
J0040-3400,10.169291,-34.002598,-1.561,-4.019,0.877,1.258,2.811503693,3.6927,1.0564,3.495550928,20.254854,19.848001,19.425444,19.194668,0.27,,
J0040-3400,10.169621,-34.002243,-1.561,-4.019,0.877,1.258,2.811503693,3.6927,1.0564,3.495550928,21.204632,20.472757,19.812895,19.496342,0.2,,
J0045-3416,11.382209,-34.268842,,,,,,,,,20.543726,19.915623,19.434244,19.289742,0.32,,
J0045-3416,11.382242,-34.268793,,,,,,,,,20.63768,19.985182,19.467442,19.343111,0.32,,
J0047-2848,11.904101,-28.815896,-0.301,-0.556,0.479,0.564,0.854437771,-0.1223,0.5478,0.223256663,21.848938,21.263283,20.803255,20.636263,0.27,,
J0047-2848,11.903631,-28.816015,-0.301,-0.556,0.479,0.564,0.854437771,-0.1223,0.5478,0.223256663,20.335888,20.354664,20.020292,19.968517,0.02,0.633,2QZ
J0050-2854,12.623285,-28.900723,3.638,-2.262,1.571,1.141,2.206336889,-3.4285,1.4345,2.39003137,22.008654,21.014658,20.54843,20.352768,0.02,,
J0050-2854,12.622924,-28.901191,3.638,-2.262,1.571,1.141,2.206336889,-3.4285,1.4345,2.39003137,21.34679,20.465723,19.96552,19.683344,0.19,,
J0053-3223,13.310058,-32.394918,,,,,,,,,20.861053,20.568287,20.150707,19.531763,0.73,,
J0053-3223,13.310123,-32.394549,,,,,,,,,20.852777,19.743563,19.158213,18.86145,0.11,,
J0054-2753,13.585976,-27.888256,7.282,-30.359,0.287,0.291,76.38559082,1.1414,0.2839,4.020429729,21.62595,19.029089,17.865921,17.330599,0.15,,
J0054-2753,13.585534,-27.888337,7.282,-30.359,0.287,0.291,76.38559082,1.1414,0.2839,4.020429729,20.96533,18.392834,17.235634,16.781422,0.13,,
J0059-2728,14.890584,-27.471033,,,,,,,,,21.57315,21.083736,20.525114,20.452402,0.3,,
J0059-2728,14.890407,-27.470689,,,,,,,,,22.485949,21.938105,21.252966,21.084702,0.34,,
J0059-2902,14.862272,-29.044645,,,,,,,,,22.439434,21.051674,20.451431,20.156307,0.18,,
J0059-2902,14.862438,-29.044257,,,,,,,,,22.19725,21.19939,20.611353,20.3296,0.19,,
J0100-3406,15.128183,-34.109264,0.147,0.532,0.124,0.097,3.505855501,-0.3315,0.1684,1.968527316,18.721588,18.472242,18.24263,18.07221,0.12,,
J0104-3411,16.15793,-34.199561,0.519,-1.696,1.257,0.872,1.159353453,3.3026,1.7612,1.875198728,21.878927,21.02123,20.778816,20.73007,0.2,,
J0104-3411,16.158123,-34.199021,0.519,-1.696,1.257,0.872,1.159353453,3.3026,1.7612,1.875198728,22.353724,21.530298,20.979542,20.793653,0.17,,
J0105-3141,16.449223,-31.694596,3.884,-9.022,0.179,0.155,41.48329332,0.3365,0.2686,1.252792256,21.88297,19.283577,18.087252,17.565817,0.16,,
J0105-3141,16.449465,-31.694774,3.884,-9.022,0.179,0.155,41.48329332,0.3365,0.2686,1.252792256,21.72681,19.146223,17.929224,17.463526,0.14,,
